Collection Number,File name,Folder Number,Folder Title,Item Title,Text on Back of Photo,notes,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_022_066,22,Medical School - Class of 1959,"Hugh Francisco Hagelin, graduate of the medical school, class of 1959","4  2  [Envelope labeled: Hagelin, Hugh Francisco  Class of 1959]",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_022_067,22,Medical School - Class of 1959,"Herbert David Ruttenberg, graduate of the medical school, class of 1959","[Envelope labeled: Ruttenberg, Herbert David  Class of 1956  Roll 4  #1-2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_022_070,22,Medical School - Class of 1959,"Herbert David Ruttenberg, graduate of the medical school, class of 1959","[Envelope labeled: Ruttenberg, Herbert David  Class of 1956  Roll 4  #1-2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_022_072,22,Medical School - Class of 1959,"Daniel Dubose Hansen, graduate of the medical school, class of 1959","1 1st Choice  D D Hansen  3 Prints  [Envelope labeled: Hansen, Daniels Dubose  Class of 1956  Roll 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_022_074,22,Medical School - Class of 1959,"Edmund Dombrowski, graduate of the medical school, class of 1959","[Envelope labeled: Dombrowski, Edmund T.  Class of 1956]",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_022_078,22,Medical School - Class of 1959,"Edmund Dombrowski, graduate of the medical school, class of 1959","[Envelope labeled: Dombrowski, Edmund T.  Class of 1956]",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_022_083,22,Medical School - Class of 1959,"James Lorin Kerns, graduate of the medical school, class of 1959","3  1  [Envelope labeled: Kerns, James Lorin Class of 1956  Roll 3  1-4] ",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_022_084,22,Medical School - Class of 1959,"Bernard Leon Laezman, graduate of the medical school, class of 1959","1  copies  2nd order  3 extra  3x4  1 storder  5  11/23/55  [Envelope labeled: Laezman, Bernard Leon  Class of 1956  Roll 5  1 -3]",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_022_085,22,Medical School - Class of 1959,"Unidentified graduate of the medical school, class of 1959",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_022_096,22,Medical School - Class of 1959,"George David Mandell, graduate of the medical school, class of 1959","6  1  [Envelope labeled: Mandell, George David  Class of 1959]",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_022_100,22,Medical School - Class of 1959,"Leland Arthur Huhn, graduate of the medical school, class of 1959","4  6  [Envelope labeled: Huhn, Leland Arthur  Class of 1959]",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_022_103,22,Medical School - Class of 1959,"Charles Francis Gehbach, graduate of the medical school, class of 1959","[Envelope labeled: Gehbach, Charles Francis  class of 1959  #12]",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_022_104,22,Medical School - Class of 1959,"Edwin Charles Grubbs, graduate of the medical school, class of 1959","4  3  [Envelope labeled: Grubbs, Edwin Charles  class of 1959]",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_022_107,22,Medical School - Class of 1959,"Richard John Martin, graduate of the medical school, class of 1959","[Envelope labeled: Martin, Richard John  Class of 1959  Reprint]",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_022_109,22,Medical School - Class of 1959,"Howard Lee Bachrach, graduate of the medical school, class of 1959","[Envelope labeled: Bachrach, Howard Lee  1959  lioo  9/28/55  Freshman  Roll ""a""  Exposure 4 + 5 + 6  #3]",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_022_111,22,Medical School - Class of 1959,"Frederick Bettin, graduate of the medical school, class of 1959","[Envelope labeled: Bettin, Fredrick   1959  #5]",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_022_114,22,Medical School - Class of 1959,"Fred Grazer, graduate of the medical school, class of 1959","[Envelope labeled: Roll 1 #5, 6  Class of 59  Fred Grazer  2998-6A]",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_022_115,22,Medical School - Class of 1959,"Norton Joel Snyder, graduate of the medical school, class of 1959","[Envelope labeled: Snyder, Norton Joel  Class of 1959  Roll #10]",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_022_116,22,Medical School - Class of 1959,"Marvin Karno, graduate of the medical school, class of 1959","[Envelope labeled: Karno, Marvin  Class of 1959  789]",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_022_119,22,Medical School - Class of 1959,"Konrad John Bors, graduate of the medical school, class of 1959","[Envelope labeled: Bors, Konard John  Class of 1959   Roll 1  4 -5]",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_022_120,22,Medical School - Class of 1959,"George Anthony Krmpotich, graduate of the medical school, class of 1959","[Envelope labeled: Krmpotich, George Anthony   Class of 1959   Roll 2 8&9]",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_023_001,23,Medical School - College of Medicine  Downtown LA   [3876B]  1951; ca.1910,"Exterior of the College of Medicine, downtown Los Angeles, c. 1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_023_003,23,Medical School - College of Medicine  Downtown LA   [3876B]  1951; ca.1910,"Exterior of the College of Medicine, downtown Los Angeles, c. 1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_023_006,23,Medical School - College of Medicine  Downtown LA   [3876B]  1951; ca.1910,"Exterior of the College of Medicine, downtown Los Angeles, c. 1910",4  Proof,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_023_007,23,Medical School - College of Medicine  Downtown LA   [3876B]  1951; ca.1910,"Exterior of the College of Medicine, downtown Los Angeles, c. 1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_023_008,23,Medical School - College of Medicine  Downtown LA   [3876B]  1951; ca.1910,"Part of the building of the College of Medicine, downtown Los Angeles, c. 1910",4 Proof,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_023_009,23,Medical School - College of Medicine  Downtown LA   [3876B]  1951; ca.1910,"Alley behind the College of Medicine, downtown Los Angeles, c. 1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_023_010,23,Medical School - College of Medicine  Downtown LA   [3876B]  1951; ca.1910,"Part of the building of the College of Medicine, downtown Los Angeles, c. 1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_023_011,23,Medical School - College of Medicine  Downtown LA   [3876B]  1951; ca.1910,"Façade of the College of Medicine, downtown Los Angeles, c. 1910",Proof  10,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_023_012,23,Medical School - College of Medicine  Downtown LA   [3876B]  1951; ca.1910,"Part of the building of the College of Medicine, downtown Los Angeles, c. 1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_023_013,23,Medical School - College of Medicine  Downtown LA   [3876B]  1951; ca.1910,"Part of the building of the College of Medicine, downtown Los Angeles, c. 1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_023_014,23,Medical School - College of Medicine  Downtown LA   [3876B]  1951; ca.1910,"Alley behind the College of Medicine, downtown Los Angeles, c. 1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_023_015,23,Medical School - College of Medicine  Downtown LA   [3876B]  1951; ca.1910,"Façade of the College of Medicine, downtown Los Angeles, c. 1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_023_016,23,Medical School - College of Medicine  Downtown LA   [3876B]  1951; ca.1910,"Façade of the College of Medicine under construction, downtown Los Angeles, c. 1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_023_017,23,Medical School - College of Medicine  Downtown LA   [3876B]  1951; ca.1910,"Façade of the College of Medicine under construction, downtown Los Angeles, c. 1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_023_018,23,Medical School - College of Medicine  Downtown LA   [3876B]  1951; ca.1910,"Façade of the College of Medicine under construction, downtown Los Angeles, c. 1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_023_019,23,Medical School - College of Medicine  Downtown LA   [3876B]  1951; ca.1910,"Part of the building of the College of Medicine, downtown Los Angeles, c. 1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_024_001,24,"Medicine, School of - Dean of Student Affairs Office","View of the office for the Deans for Student Affairs, School of Medicine, with doctors inside",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_025_001,25,Med School - Scenes,"Ove Alfred Nedergaard, research assistant at the Department of Pharmacology sitting at a work station, May 1955",Ove Alfred Nedergaard  May 1955  Research Assistant  Department of Pharmacology   University of California at Los Angeles  School of Medicine ,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_025_002,25,Med School - Scenes,Unidentified worker associated with the Medical School using equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_025_003,25,Med School - Scenes,Medical staff using equipment,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_025_004,25,Med School - Scenes,Various shots of students in Medical School ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_025_005,25,Med School - Scenes,Three Medical School students ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_002,1,Music Department,"Art student, Marian Brown at work",5  0  [On sleeve: Art - Marian Brown],,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_003,1,Music Department,"Art student, Marian Brown working on clothes designing ",5  0  [On sleeve: Art - Marian Brown],,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_004,1,Music Department,"Art student, Marian Brown sketching out clothes design",5  0  [On sleeve: Art - Marian Brown],,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_005,1,Music Department,"Art student, Marian Brown working with charcoal",5  0  [On sleeve: Art - Marian Brown],,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_006,1,Music Department,"Art student, Marian Brown working on clothes designing ",5  0  [On sleeve: Art - Marian Brown],,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_007,1,Music Department,"Art student, Marian Brown working with charcoal",Virginia Eubanks College of Fine Arts  A265 Murphy Hall  Campus   5  0  [On sleeve: Art - Marian Brown],,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_008,1,Music Department,"Art student, Marian Brown working on clothes design ",5  0  [On sleeve: Art - Marian Brown],,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_009,1,Music Department,Art class scene circa 1970s,[On sleeve: Art Drawing Class 1970s] J - 20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_010,1,Music Department,Two students painting in art class circa 1970s,[On sleeve: Art Painting Class 1970s]  Bleu Nutebaack (?)  J - 20  Virginia Eubanks College of Fine Arts  A265 Murphy Hall  Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_011,1,Music Department,Student painting portrait in art class circa 1970s,[On sleeve: Art Painting Class 1970s] J-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_012,1,Music Department,Art class scene circa 1970s,[On sleeve: Art Painting Class 1970s] J-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_013,1,Music Department,Student painting in art class circa 1970s,[On sleeve: Art Painting Class 1970s] J-20 Painting thecalling(?)  Virginia Eubanks College of Fine Arts A265 Murphy Hall Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_014,1,Music Department,Contact sheet of art class photographs,[On notes: P.1 Art AA   Row 4 Shots 3&4  26A/27  27A/28,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_015,1,Music Department,Art student painting on large canvas circa 1970s,Virginia Eubanks College of Fine Arts  A265 Murphy Hall Campus  ,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_016,1,Music Department,Art student painting in art class circa 1970s,J-20  ART  Virginia Eubanks College of Fine Arts A265 Murphy Hall Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_017,1,Music Department,Art student painting portrait in art class circa 1970s,J-20  ART  Publication Services Department Room 7523 Boelter Hall   Virginia Eubanks College of Fine Arts A265 Murphy Hall Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_018,1,Music Department,Art class scene circa 1970s,J-20  Virginia Eubanks College of Fine Arts A265 Murphy Hall Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_019,1,Music Department,Contact sheet of art class photographs,Photo By Craig R. Dietz All Rights Reserved © Photos May Not Be Reprinted Without Consent Of Craig R. Dietz   272  #7,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_020,1,Music Department,Contact sheet of UCLA campus and students,44,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_021,1,Music Department,Art student working on project ,52 Duo,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_022,1,Music Department,Art student painting in art class circa 1970s,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_023,1,Music Department,Art students working in art class circa 1970s,Undergrad Art  56,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_024,1,Music Department,Art students observing professor demonstrating printmaking ,Undergrad Art  51,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_025,1,Music Department,Two art students overlooking art books,97,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_026,1,Music Department,A welder uses equipment to create a flame while working on a project,54,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_027,1,Music Department,Various shots of an art instructor demonstrating new equipment as students look on,8161,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_028,1,Music Department,Exhibition of art students' work,4655  1/33,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_029,1,Music Department,Various shots of art students in class,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_030,1,Music Department,Art student sitting behind his creation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_031,1,Music Department,Art student makes adjustments to his creation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_032,1,Music Department,Close up of an art student's hands working on an art project,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_033,1,Music Department,Art student sits behind two finished projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_034,1,Music Department,Art student makes adjustments to his creation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_035,1,Music Department,Graduate students in a sculpture design class,[Note: Graduate (Sculpture)  Design]  8157,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_036,1,Music Department,Various shots of graduate art students working on projects in class,8158,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_037,1,Music Department,Various shows of students posing with a skeleton used for educational purposes,37  Photo By Craig R. Dietz All Rights Reserved © Photos May Not Be Reprinted Without Consent of Craig R. Dietz,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_038,1,Music Department,Various shots of graduate students deemonstrating arm movememtns next to a skeleton used for educational purposes and an art student painting,276 Photo By Craig R. Dietz All Rights Reserved © Photos May Not Be Reprinted Without Consent of Craig R. Dietz ,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_039,1,Music Department,Art student working on a project,16  27,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_040,1,Music Department,Art student looking down at a model of a building,27  14,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_041,1,Music Department,Art work produced by students on display,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_042,1,Music Department,Art student working on a project,15  27,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_043,1,Music Department,Counter displaying art equipment,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_044,1,Music Department,Picture of artwork produced by a student,18  3B-4,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_045,1,Music Department,Display of artwork produced by a student outside on grass,18  13,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_046,1,Music Department,Two framed pieces of art producded by students hanging next to each other on a wall,18  10,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_047,1,Music Department,Light shining down on artwork produced by a student in a dark room,18 12,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_048,1,Music Department,"Sign on the wall that reads ""Twenty Years of Acquisitions Brunwald Center for the Graphic Arts"" framed around a drawing",18  6,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_049,1,Music Department,Art work produced by a student on display outside on grass,18  14,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_050,1,Music Department,A close up of a drawn map,18  9,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_051,1,Music Department,Art students talk in a room surrounded by artwork ,4654/5  76  5 A    [Note: graduate student preparing 4 critique],,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_052,1,Music Department,An art student and a lecturer talk with each other,Art undergrad  ?,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_053,1,Music Department,Art student working on a project,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_054,1,Music Department,Two art students talking while surrounded by art,Possible #4  Nancy Rubens  Return to folder marked A   43,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_055,1,Music Department,Artwork produced by an art student,5  © Berliner Studio (213) 857-1222  5246  7-6,rescan front,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_056,1,Music Department,Art student kneeling over a piece of art,4654/1  35  FC-C,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_001_057,1,Music Department,Various shtos of students in the drawing and painting classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_002_001,2,Miscellaneous ,View of Royce Hall from Powell Library at night,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_002_002,2,Miscellaneous ,Various shots of the interior of Powell Library,7785,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_002_003,2,Miscellaneous ,A woman sits in a group with her attention paid towards the speaker addressing the crowd,Mague Wai  Seth keeps a file w/ ?'s  and it can go to the Dents + sl. (?)  11,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_002_004,2,Miscellaneous ,Group of unidentified people  attending the Carol Burnett awards,Carol Burnett Awards - year? ask John Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_002_005,2,Miscellaneous ,Various shots of the exterior of a building on campus,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_002_006,2,Miscellaneous ,Dancers performing a dance ,[Note: Don't know what these are],,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_002_007,2,Miscellaneous ,Various shots of scenes in a music classroom,Musicology  Diet @ '84  #8  221 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_002_008,2,Miscellaneous ,Various shots of miscellaneous classroom scenes,Diet @ '84  222,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_002_009,2,Miscellaneous ,Musicology professor addresses a group of students sitting around him,[Label on sleeve: Music-Classroom scenes/ Note: Musicology],,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_002_010,2,Miscellaneous ,Miscellaneous artwork,"Do Not Crop! TOP  Anne Marie Karlsen 4637 Maytime Ln. Culver City, CA 90230  Offering 1995 8ft x 6 ft 7in Ink Jet Painting on Vynil ",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_002_011,2,Miscellaneous ,Entrance to the art gallery showing,175,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_002_012,2,Miscellaneous ,Students posed for a photograph for a brochure,General brochure,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_002_013,2,Miscellaneous ,UCLA graduate student overlooking some paper,"UCLA Grad. CAT  p 20  Publication Services Department Room 7523 Boelter Hall  Property of Publication Services Dept.  © Judy Graeme - Photographer 19_ _  4310 Troost Ave.  Studio City, California 91604  NOT TO BE REPRODUCED WITHOUT WRITTENT PERMISSION  Dance  118 1/2% 11-209  16",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_002_014,2,Miscellaneous ,Art student sculpting a pot ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_003_001,3,Music Opera (mostly),Student at the microphone during the Madrigal Singers rehearasal,"[Sleeve labeled: Music-""Madrigal Singers"" Rehearsal]   40",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_003_002,3,Music Opera (mostly),Opera singer student during the Madrigal Singers rehearsal,"[Sleeve labeled: Music-""Madrigal Singers"" Rehearsal]   40",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_003_003,3,Music Opera (mostly),Conductor leads the students during the Madrigal Singers rehearsal,"[Sleeve labeled: Music-""Madrigal Singers"" Rehearsal]   40",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_003_004,3,Music Opera (mostly),Conductor leads the students during the Madrigal Singers rehearsal,"[Sleeve labeled: Music-""Madrigal Singers"" Rehearsal]   40  ""Madrigal Singers"" rehearsal  Virginia Eubanks College of Fine Arts A265 Murphy Hall Campus  UCLA  11",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_003_005,3,Music Opera (mostly),Students during the Madrigal Singers rehearsal,"[Sleeve labeled: Music-""Madrigal Singers"" Rehearsal]   40",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_003_006,3,Music Opera (mostly),Students practicing during the Madrigal Singers rehearsal,"[Sleeve labeled: Music-""Madrigal Singers"" Rehearsal]   40",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_003_007,3,Music Opera (mostly),Students sitting in a line during the Madrigal Singers rehearsal,"[Sleeve labeled: Music-""Madrigal Singers"" Rehearsal]   40",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_003_008,3,Music Opera (mostly),Students singing in rehearsal for the Madrigal Singers,Madrigal rehearsal  9-2  Virginia Eubanks College of Fine Arts A265 Murphy Hall Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_003_009,3,Music Opera (mostly),"Various scenes from voice class, 1984",Diet @ '84  220,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_003_010,3,Music Opera (mostly),"Various scenes from voice class, 1984",Diet @ '84  239,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_003_011,3,Music Opera (mostly),"Various scenes from voice class, 1984",Diet @ '84  229,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_003_012,3,Music Opera (mostly),"Various scenes from voice class, 1984",Diet @ '84  #34  237,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_003_013,3,Music Opera (mostly),Members from the College of Fine Arts performing on stage,Scarlet Mill  Virginia Eubanks College of Fine Arts A265 Murphy Hall Campus  I 66%  #4,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_003_014,3,Music Opera (mostly),Various shots of members of the Voice and Opera Cavalcade,"Nikalais/Kester/Clarke-Calvacade  2 full, 1 pr + roll.  3 proof sheets   [Note: Voice/Opera Cavalcade]",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_003_015,3,Music Opera (mostly),Performance by those from the College of Fine Arts,Cadiz Outwitted  p 65  Virginia Eubanks College of Fine Arts A265 Murphy Hall Campus ,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_003_016,3,Music Opera (mostly),"Actress performing a scene with ""The Cadiz Outwitted"" on stage","Scene from the opera ""The Cadiz Outwitted.""  p 65  Virginia Eubanks College of Fine Arts A265 Murphy Hall Campus",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_003_017,3,Music Opera (mostly),"Actors performing a scene from ""The Cadiz Outwitted"" ",Cadiz Outwitted  p 65  Virginia Eubanks College of Fine Arts A265 Murphy Hall Campus ,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_003_018,3,Music Opera (mostly),"Actors performing a scene from ""The Cadiz Outwitted"" ",Cadiz Outwitted  p 65  Virginia Eubanks College of Fine Arts A265 Murphy Hall Campus ,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_003_019,3,Music Opera (mostly),"Actors performing a scene from ""The Cadiz Outwitted""",Cadiz Outwitted  p 65  Virginia Eubanks College of Fine Arts A265 Murphy Hall Campus ,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_003_020,3,Music Opera (mostly),Actor performing a scene on stage,[Label on sleeve: Music-Steve Paskowitz],,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_003_021,3,Music Opera (mostly),Actor performing a scene on stage,[Label on sleeve: Music-Steve Paskowitz],,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_003_022,3,Music Opera (mostly),Actors performing a scene on stage,Orontea return to V. Eubanks    ,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_003_023,3,Music Opera (mostly),Actors prepare the stage or Queen Orontea of Egypt,Queen Orontea of Egypt  1972  63,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_003_024,3,Music Opera (mostly),Actors prepare the stage or Queen Orontea of Egypt,Queen Orontea of Egypt  1972  63,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_003_025,3,Music Opera (mostly),Various shots from the Madam Butterfly Opera,66,,,,,,,,,,,,,,,,,,,,,,,,,,,
